Index,Model,BLEU_Score,ROUGE-L_Score,METEOR_Score
CPP_52,GPT4,0.5014,0.6947,0.8036
CPP_52,GPT35,0.4148,0.6186,0.7243
CPP_52,MetaLlama,0.6126,0.8211,0.8887
CPP_85,Gemma,0.2441,0.427,0.5889
CPP_85,GPT4,0.3625,0.5833,0.6822
CPP_85,GPT35,0.2564,0.5352,0.6303
CPP_85,MetaLlama,0.343,0.5833,0.664
CPP_91,Gemma,0.1168,0.4368,0.3842
CPP_91,GPT4,0.1021,0.5412,0.4754
CPP_91,GPT35,0.0,0.3564,0.3797
CPP_91,MetaLlama,0.1193,0.4944,0.4518
CPP_141,GPT4,0.2185,0.5176,0.5646
CPP_141,GPT35,0.2085,0.4444,0.5141
CPP_155,GPT4,0.6296,0.7865,0.8227
CPP_155,GPT35,0.1796,0.3579,0.5178
CPP_151,Gemma,0.4693,0.6429,0.7274
CPP_151,GPT4,0.371,0.619,0.7257
CPP_151,GPT35,0.2725,0.5526,0.6129
CPP_151,MetaLlama,0.3612,0.5897,0.6622
CPP_145,GPT4,0.4514,0.6067,0.695
CPP_145,GPT35,0.2073,0.4301,0.5297
CPP_95,Gemma,0.2903,0.4948,0.5926
CPP_95,GPT4,0.3948,0.6024,0.707
CPP_95,GPT35,0.3234,0.5053,0.5957
CPP_81,GPT4,0.309,0.4667,0.5656
CPP_56,Gemma,0.4656,0.5854,0.7362
CPP_56,GPT4,0.4986,0.675,0.778
CPP_56,GPT35,0.2744,0.5581,0.6969
CPP_56,MetaLlama,0.3996,0.5714,0.7313
CPP_42,Gemma,0.2152,0.427,0.5857
CPP_42,GPT4,0.3591,0.5455,0.6723
CPP_42,GPT35,0.2057,0.4368,0.5405
CPP_42,MetaLlama,0.461,0.7013,0.7916
CPP_43,Gemma,0.5423,0.7778,0.8306
CPP_43,GPT4,0.6106,0.809,0.865
CPP_43,GPT35,0.4077,0.716,0.7582
CPP_43,MetaLlama,0.58,0.8235,0.8528
CPP_57,Gemma,0.3727,0.6105,0.6894
CPP_57,GPT4,0.5879,0.7654,0.8028
CPP_57,GPT35,0.3875,0.625,0.7514
CPP_57,MetaLlama,0.5806,0.7711,0.8451
CPP_80,Gemma,0.5133,0.747,0.7161
CPP_80,GPT4,0.4784,0.6977,0.7089
CPP_80,GPT35,0.3045,0.5952,0.6061
CPP_80,MetaLlama,0.4544,0.7045,0.7156
CPP_94,GPT4,0.1803,0.3818,0.5841
CPP_94,GPT35,0.1788,0.4096,0.6215
CPP_144,GPT4,0.2647,0.5053,0.6118
CPP_144,GPT35,0.3136,0.4948,0.6054
CPP_150,Gemma,0.3133,0.4941,0.5011
CPP_150,GPT4,0.3479,0.5169,0.5818
CPP_150,GPT35,0.1934,0.4235,0.4614
CPP_150,MetaLlama,0.3515,0.5333,0.5694
CPP_146,Gemma,0.2225,0.451,0.5488
CPP_146,GPT4,0.2326,0.4032,0.5352
CPP_146,GPT35,0.2172,0.46,0.5521
CPP_152,Gemma,0.1404,0.3205,0.2717
CPP_152,GPT4,0.0683,0.3212,0.2753
CPP_152,GPT35,0.0791,0.3099,0.2877
CPP_152,MetaLlama,0.1402,0.3553,0.3199
CPP_82,Gemma,0.6606,0.8736,0.9406
CPP_82,GPT4,0.498,0.7556,0.8171
CPP_82,GPT35,0.2782,0.6133,0.6437
CPP_82,MetaLlama,0.7167,0.878,0.9012
CPP_96,Gemma,0.247,0.3958,0.5671
CPP_96,GPT4,0.3517,0.5,0.5523
CPP_96,GPT35,0.2044,0.5169,0.6396
CPP_96,MetaLlama,0.2611,0.439,0.5474
CPP_69,GPT4,0.1648,0.3077,0.4525
CPP_69,GPT35,0.1647,0.4,0.4358
CPP_41,Gemma,0.3373,0.5,0.5628
CPP_41,GPT4,0.2793,0.5333,0.5683
CPP_41,GPT35,0.1491,0.3617,0.4813
CPP_41,MetaLlama,0.2306,0.4789,0.5257
CPP_55,Gemma,0.1667,0.3864,0.5613
CPP_55,GPT4,0.3166,0.4865,0.6975
CPP_55,GPT35,0.1477,0.3953,0.5651
CPP_55,MetaLlama,0.2711,0.4412,0.5721
CPP_54,GPT4,0.5479,0.7442,0.7999
CPP_54,GPT35,0.3311,0.5376,0.681
CPP_40,Gemma,0.497,0.7234,0.8069
CPP_40,GPT4,0.587,0.8046,0.8496
CPP_40,GPT35,0.3045,0.6154,0.6547
CPP_40,MetaLlama,0.653,0.8506,0.8875
CPP_68,Gemma,0.2769,0.4211,0.5605
CPP_68,GPT4,0.316,0.4198,0.5048
CPP_68,GPT35,0.2139,0.4301,0.5068
CPP_68,MetaLlama,0.3185,0.4444,0.5277
CPP_97,Gemma,0.4653,0.5797,0.67
CPP_97,GPT4,0.6344,0.8354,0.8707
CPP_97,GPT35,0.2651,0.4368,0.5692
CPP_97,MetaLlama,0.3798,0.5897,0.6346
CPP_83,Gemma,0.1697,0.375,0.4475
CPP_83,GPT4,0.3693,0.5676,0.5723
CPP_83,GPT35,0.2384,0.5,0.5102
CPP_83,MetaLlama,0.2566,0.4359,0.481
CPP_153,GPT4,0.2344,0.4948,0.5957
CPP_153,GPT35,0.2345,0.3958,0.5552
CPP_147,GPT4,0.1817,0.4719,0.3731
CPP_162,GPT4,0.2927,0.6588,0.6187
CPP_162,GPT35,0.169,0.3913,0.4615
CPP_65,GPT4,0.3555,0.5476,0.639
CPP_71,Gemma,0.5813,0.6875,0.6963
CPP_71,GPT4,0.4923,0.6392,0.733
CPP_71,GPT35,0.2978,0.5319,0.5328
CPP_71,MetaLlama,0.323,0.619,0.5539
CPP_59,Gemma,0.4664,0.6562,0.6888
CPP_59,GPT4,0.5522,0.7733,0.8469
CPP_59,GPT35,0.2823,0.6269,0.6428
CPP_59,MetaLlama,0.3869,0.6866,0.7097
CPP_58,GPT4,0.1504,0.3019,0.5818
CPP_70,GPT4,0.4398,0.5676,0.6441
CPP_64,Gemma,0.2179,0.3678,0.5864
CPP_64,GPT4,0.5425,0.8219,0.887
CPP_64,GPT35,0.1493,0.3765,0.5526
CPP_64,MetaLlama,0.5252,0.8,0.8931
CPP_163,Gemma,0.2334,0.3556,0.5917
CPP_163,GPT4,0.3126,0.4932,0.6364
CPP_163,GPT35,0.2273,0.3636,0.5952
CPP_163,MetaLlama,0.4059,0.5854,0.7211
CPP_149,GPT4,0.0345,0.1038,0.303
CPP_161,GPT4,0.3556,0.5915,0.5572
CPP_161,GPT35,0.1408,0.3778,0.4602
CPP_99,Gemma,0.4594,0.6216,0.7767
CPP_99,GPT4,0.2301,0.4262,0.6545
CPP_99,GPT35,0.1504,0.4091,0.5551
