file_name,overall_nodes_test,overall_edges_test,loop_nodes_test,loop_edges_test,branch_nodes_test,branch_edges_test,overall_nodes_golden,overall_edges_golden,loop_nodes_golden,loop_edges_golden,branch_nodes_golden,branch_edges_golden,category
CPP_136.dot,83,104,0,0,22,44,8,11,5,7,4,8,Wrong
CPP_85.dot,0,0,0,0,0,0,8,12,0,0,5,10,Wrong
CPP_139.dot,0,0,0,0,0,0,7,11,0,0,5,10,Wrong
CPP_145.dot,0,0,0,0,0,0,45,67,3,4,25,50,Wrong
CPP_57.dot,7,11,2,3,4,8,7,11,0,0,5,10,Overall Completed
CPP_59.dot,0,0,0,0,0,0,5,8,3,5,4,8,Wrong
CPP_132.dot,7,10,3,5,4,8,6,8,2,2,3,6,Wrong
CPP_27.dot,31,36,2,2,5,10,31,44,0,0,14,29,Wrong
CPP_91.dot,11,18,6,8,7,14,11,16,0,0,6,12,Wrong
CPP_154.dot,0,0,0,0,0,0,35,53,0,0,18,38,Wrong
CPP_73.dot,0,0,0,0,0,0,3,4,0,0,2,4,Wrong
CPP_152.dot,0,0,0,0,0,0,21,28,0,0,10,20,Wrong
CPP_142.dot,0,0,0,0,0,0,8,11,5,7,4,8,Wrong
CPP_29.dot,0,0,0,0,0,0,28,42,0,0,14,30,Wrong
CPP_49.dot,0,0,0,0,0,0,7,11,0,0,5,10,Wrong
CPP_130.dot,41,62,4,4,24,48,41,56,22,30,19,38,Wrong
CPP_122.dot,0,0,0,0,0,0,11,17,0,0,7,14,Wrong
CPP_143.dot,0,0,0,0,0,0,97,143,50,72,46,95,Wrong
CPP_5.dot,33,32,0,0,0,0,36,50,0,0,18,36,Wrong
CPP_153.dot,0,0,0,0,0,0,39,58,0,0,20,41,Wrong
CPP_13.dot,0,0,0,0,0,0,3,3,0,0,1,2,Wrong
CPP_53.dot,0,0,0,0,0,0,0,0,0,0,0,0,Overall Completed
CPP_126.dot,0,0,0,0,0,0,7,11,0,0,5,10,Wrong
CPP_32.dot,0,0,0,0,0,0,3,4,0,0,2,4,Wrong
CPP_127.dot,49,50,0,0,1,3,8,11,0,0,4,8,Wrong
