file_name,overall_nodes_rate,overall_edges_rate,loop_nodes_rate,loop_edges_rate,branch_nodes_rate,branch_edges_rate,overall_nodes_golden
CPP_104.dot,0.896551724137931,0.7142857142857143,NA,NA,0.4375,0.46875,29
CPP_60.dot,NA,NA,NA,NA,NA,NA,0
CPP_44.dot,1.1071428571428572,0.9487179487179487,NA,NA,0.5384615384615384,0.5384615384615384,28
CPP_51.dot,0.8888888888888888,0.7407407407407407,NA,NA,0.34615384615384615,0.41818181818181815,54
CPP_8.dot,1.0909090909090908,0.8823529411764706,NA,NA,0.42857142857142855,0.42857142857142855,11
CPP_147.dot,0.24369747899159663,0.15,0.0,0.0,0.030303030303030304,0.030303030303030304,119
CPP_68.dot,1.0476190476190477,0.8064516129032258,0.0,0.0,0.3333333333333333,0.375,21
CPP_75.dot,1.0,1.0,1.0,1.0,0.75,0.75,5
CPP_140.dot,0.3027027027027027,0.21691176470588236,0.0,0.0,0.21951219512195122,0.24855491329479767,185
CPP_54.dot,0.9104477611940298,0.576271186440678,NA,NA,0.3111111111111111,0.29896907216494845,67
CPP_52.dot,1.1666666666666667,1.0,NA,NA,0.75,0.75,6
CPP_58.dot,0.0,0.0,NA,NA,0.0,0.0,65
CPP_10.dot,0.0,0.0,NA,NA,0.0,0.0,24
CPP_35.dot,1.0,0.8181818181818182,NA,NA,0.4,0.4,7
CPP_100.dot,1.1176470588235294,0.9090909090909091,NA,NA,0.5,0.5625,17
CPP_77.dot,1.3333333333333333,1.3333333333333333,NA,NA,1.0,1.0,3
CPP_161.dot,0.8032786885245902,0.5483870967741935,NA,NA,0.21212121212121213,0.208955223880597,61
CPP_14.dot,0.7674418604651163,0.5,NA,NA,0.05263157894736842,0.05,43
CPP_94.dot,1.5555555555555556,0.7407407407407407,0.0,0.0,0.25,0.275,36
CPP_106.dot,1.0571428571428572,0.7959183673469388,NA,NA,0.3888888888888889,0.3888888888888889,35
CPP_40.dot,1.1,1.0,0.2857142857142857,0.18181818181818182,0.7142857142857143,0.7857142857142857,10
CPP_136.dot,1.0,1.1818181818181819,0.0,0.0,1.25,1.25,8
CPP_85.dot,1.125,1.0833333333333333,NA,NA,0.6,0.7,8
CPP_139.dot,1.0,1.0,NA,NA,0.8,0.8,7
CPP_145.dot,0.7555555555555555,0.5522388059701493,1.0,1.0,0.16,0.16,45
CPP_57.dot,1.0,0.9090909090909091,NA,NA,0.8,0.8,7
CPP_59.dot,1.2,1.0,0.0,0.0,0.75,0.75,5
CPP_132.dot,1.1666666666666667,1.125,1.0,1.0,1.0,1.0,6
CPP_27.dot,1.0,0.8863636363636364,NA,NA,0.6428571428571429,0.6206896551724138,31
CPP_91.dot,1.0,0.9375,NA,NA,0.6666666666666666,0.6666666666666666,11
CPP_154.dot,1.0571428571428572,0.7547169811320755,NA,NA,0.2777777777777778,0.2894736842105263,35
CPP_73.dot,1.3333333333333333,1.25,NA,NA,0.5,0.5,3
CPP_152.dot,1.380952380952381,1.0357142857142858,NA,NA,0.5,0.75,21
CPP_142.dot,1.0,1.0909090909090908,0.0,0.0,1.0,1.0,8
CPP_29.dot,0.7857142857142857,0.5,NA,NA,0.21428571428571427,0.2,28
CPP_49.dot,1.2857142857142858,1.1818181818181819,NA,NA,1.0,1.1,7
CPP_70.dot,0.0,0.0,NA,NA,0.0,0.0,54
CPP_130.dot,1.0,0.75,0.0,0.0,0.47368421052631576,0.47368421052631576,41
CPP_22.dot,0.0,0.0,NA,NA,0.0,0.0,42
CPP_122.dot,1.0909090909090908,0.9411764705882353,NA,NA,0.5714285714285714,0.5714285714285714,11
CPP_143.dot,0.5876288659793815,0.4125874125874126,0.0,0.0,0.10869565217391304,0.11578947368421053,97
CPP_5.dot,0.0,0.0,NA,NA,0.0,0.0,36
CPP_153.dot,1.3333333333333333,0.8793103448275862,NA,NA,0.05,0.04878048780487805,39
CPP_88.dot,0.6666666666666666,0.5609756097560976,NA,NA,0.35714285714285715,0.35714285714285715,30
CPP_148.dot,0.08,0.0625,1.6666666666666667,1.5,0.02631578947368421,0.025974025974025976,75
CPP_156.dot,1.02,0.6938775510204082,0.0,0.0,0.0,0.0,100
CPP_13.dot,1.0,1.0,NA,NA,1.0,1.0,3
CPP_53.dot,NA,NA,NA,NA,NA,NA,0
CPP_126.dot,1.2857142857142858,1.0,NA,NA,0.6,0.6,7
CPP_32.dot,8.333333333333334,6.25,NA,NA,1.5,1.75,3
CPP_86.dot,0.28440366972477066,0.20496894409937888,0.0,0.0,0.0784313725490196,0.0761904761904762,109
CPP_117.dot,0.2826086956521739,0.19148936170212766,0.0,0.0,0.043478260869565216,0.041237113402061855,92
CPP_127.dot,1.125,1.0909090909090908,NA,NA,1.0,1.0,8
