file_name,overall_nodes_test,overall_edges_test,loop_nodes_test,loop_edges_test,branch_nodes_test,branch_edges_test,overall_nodes_golden,overall_edges_golden,loop_nodes_golden,loop_edges_golden,branch_nodes_golden,branch_edges_golden,category
CPP_40.dot,11,16,2,2,5,11,10,16,7,11,7,14,Overall Completed
CPP_136.dot,8,13,0,0,5,10,8,11,5,7,4,8,Wrong
CPP_85.dot,9,13,0,0,3,7,8,12,0,0,5,10,Overall Completed
CPP_139.dot,7,11,2,2,4,8,7,11,0,0,5,10,Overall Completed
CPP_145.dot,34,37,3,4,4,8,45,67,3,4,25,50,Wrong
CPP_57.dot,7,10,0,0,4,8,7,11,0,0,5,10,Overall Completed
CPP_59.dot,6,8,0,0,3,6,5,8,3,5,4,8,Overall Completed
CPP_132.dot,7,9,2,2,3,6,6,8,2,2,3,6,Overall Completed
CPP_27.dot,31,39,0,0,9,18,31,44,0,0,14,29,Loop Completed
CPP_91.dot,11,15,8,11,4,8,11,16,0,0,6,12,Overall Completed
CPP_154.dot,37,40,0,0,5,11,35,53,0,0,18,38,Wrong
CPP_73.dot,4,5,0,0,1,2,3,4,0,0,2,4,Overall Completed
CPP_152.dot,29,29,0,0,5,15,21,28,0,0,10,20,Wrong
CPP_142.dot,8,12,0,0,4,8,8,11,5,7,4,8,Overall Completed
CPP_29.dot,22,21,0,0,3,6,28,42,0,0,14,30,Wrong
CPP_49.dot,9,13,0,0,5,11,7,11,0,0,5,10,Wrong
CPP_70.dot,0,0,0,0,0,0,54,76,0,0,27,54,Wrong
CPP_130.dot,41,42,0,0,9,18,41,56,22,30,19,38,Wrong
CPP_22.dot,0,0,0,0,0,0,42,61,0,0,23,46,Wrong
CPP_122.dot,12,16,0,0,4,8,11,17,0,0,7,14,Overall Completed
CPP_143.dot,57,59,0,0,5,11,97,143,50,72,46,95,Wrong
CPP_5.dot,0,0,0,0,0,0,36,50,0,0,18,36,Wrong
CPP_153.dot,52,51,0,0,1,2,39,58,0,0,20,41,Wrong
CPP_88.dot,20,23,2,2,5,10,30,41,0,0,14,28,Wrong
CPP_148.dot,6,7,5,6,1,2,75,112,3,4,38,77,Wrong
CPP_156.dot,102,102,0,0,0,0,100,147,26,37,48,97,Wrong
CPP_13.dot,3,3,0,0,1,2,3,3,0,0,1,2,Overall Completed
CPP_53.dot,1,1,1,1,0,0,0,0,0,0,0,0,Overall Completed
CPP_126.dot,9,11,3,4,3,6,7,11,0,0,5,10,Wrong
CPP_32.dot,25,25,2,2,3,7,3,4,0,0,2,4,Wrong
CPP_86.dot,31,33,0,0,4,8,109,161,63,89,51,105,Wrong
CPP_117.dot,26,27,0,0,2,4,92,141,52,80,46,97,Wrong
CPP_127.dot,9,12,2,2,4,8,8,11,0,0,4,8,Overall Completed
